time_s,raw,filtered
0.009,-142311.0,-142419.89
0.02,-142511.0,-142429.0
0.032,-142977.0,-142483.8
0.043,-143355.0,-142570.92
0.055,-143151.0,-142628.92
0.067,-143423.0,-142708.33
0.078,-143679.0,-142805.39
0.09,-143194.0,-142844.25
0.101,-142697.0,-142829.52
0.113,-143098.0,-142856.36
0.125,-142605.0,-142831.22
0.136,-142615.0,-142809.59
0.148,-143096.0,-142838.23
0.159,-143018.0,-142856.2
0.171,-142910.0,-142861.58
0.183,-142571.0,-142832.52
0.194,-143030.0,-142852.27
0.206,-142828.0,-142849.84
0.217,-142950.0,-142859.86
0.229,-143185.0,-142892.38
0.241,-143239.0,-142927.03
0.252,-143350.0,-142969.33
0.264,-143640.0,-143036.39
0.275,-143137.0,-143046.45
0.287,-142568.0,-142998.61
0.299,-142969.0,-142995.64
0.31,-143091.0,-143005.17
0.322,-142961.0,-143000.75
0.333,-143040.0,-143004.67
0.345,-143455.0,-143049.7
0.356,-143266.0,-143071.33
0.368,-143335.0,-143097.7
0.38,-143642.0,-143152.12
0.391,-143689.0,-143205.81
0.403,-143067.0,-143191.92
0.414,-143263.0,-143199.03
0.426,-143184.0,-143197.53
0.438,-142965.0,-143174.28
0.449,-143272.0,-143184.05
0.461,-143506.0,-143216.23
0.472,-143678.0,-143262.41
0.484,-143776.0,-143313.77
0.496,-143668.0,-143349.19
0.507,-143331.0,-143347.36
0.519,-143223.0,-143334.92
0.53,-143323.0,-143333.73
0.542,-143414.0,-143341.77
0.554,-143498.0,-143357.39
0.565,-143947.0,-143416.34
0.577,-143659.0,-143440.61
0.588,-143999.0,-143496.45
0.6,-143855.0,-143532.31
0.612,-143562.0,-143535.28
0.623,-143194.0,-143501.16
0.635,-143213.0,-143472.34
0.646,-143314.0,-143456.52
0.658,-143346.0,-143445.45
0.669,-143292.0,-143430.11
0.681,-143125.0,-143399.59
0.693,-143420.0,-143401.64
0.704,-143873.0,-143448.78
0.716,-143864.0,-143490.3
0.727,-143368.0,-143478.06
0.739,-143620.0,-143492.25
